,Comment,Emotion,Comment_clean
1529,i feel that the out of people that i encounter in the day that are rude and mean to me for no reason at all,anger,i feel that the out of people that i encounter in the day that are rude and mean to me for no reason at all
1530,i feel so tranquil right now its great,joy,i feel so tranquil right now its great
1531,i put up my christmas tree and im feeling fairly festive,joy,i put up my christmas tree and i am feeling fairly festive
1532,i feel like i should have some wine or something i was amused,joy,i feel like i should have some wine or something i was amused
1533,i feel quite nervous and scared too x scared cos ill be taking the plane back to singapore on my own cos i cant stay as long as my two other friends have planned t,fear,i feel quite nervous and scared too x scared cos ill be taking the plane back to singapore on my own cos i cant stay as long as my two other friends have planned t
1534,i feel like i shouldnt have even bothered,anger,i feel like i should not have even bothered
1535,i think most people have little problem expressing but once in a while i can t help but feel that we shouldn t be afraid to let it all hang out there and express the other emotions that don t get nearly as much airtime,fear,i think most people have little problem expressing but once in a while i can t help but feel that we should not be afraid to let it all hang out there and express the other emotions that do not get nearly as much airtime
1536,i know what i believe and how i feel but some part of me is still hesitant because the old me would have said that anyone who believed there was a god was crazy,fear,i know what i believe and how i feel but some part of me is still hesitant because the old me would have said that anyone who believed there was a god was crazy
1537,i sometimes feel so vulnerable and so lost,fear,i sometimes feel so vulnerable and so lost
1538,i feel uncertain if the most of similar families can be reached the uncertainty does not preclude us from serving those we can in the meantime while discovering the ways to reach the others,fear,i feel uncertain if the most of similar families can be reached the uncertainty does not preclude us from serving those we can in the meantime while discovering the ways to reach the others
1539,i am saying that i am feeling helpless now that i have to walk on toes,fear,i am saying that i am feeling helpless now that i have to walk on toes
